time,x ref,y ref,theta ref,v ref,omega ref
1.313,3.90878,1.25733,0.328603,3.88539,0.00351978,
1.31805,3.92732,1.26366,0.32862,3.8794,0.00344357,
1.3231,3.94589,1.26999,0.328638,3.88547,0.00337862,
1.32815,3.96444,1.27631,0.328654,3.87948,0.00330372,
1.3332,3.98296,1.28263,0.328671,3.87584,0.00323152,
1.33825,4.00152,1.28896,0.328687,3.88197,0.003168,
1.3433,4.02004,1.29528,0.328702,3.87592,0.00309503,
1.34835,4.03855,1.30159,0.328717,3.87225,0.00302461,
1.3534,4.05709,1.30791,0.328732,3.87843,0.00296238,
1.35845,4.07559,1.31423,0.328747,3.87234,0.00289124,
1.3635,4.0941,1.32054,0.328761,3.8711,0.00282429,
1.36855,4.11259,1.32685,0.328775,3.86986,0.00275785,
1.3736,4.13108,1.33316,0.328789,3.86862,0.00269189,
1.37865,4.14957,1.33946,0.328802,3.86737,0.0026264,
1.3837,4.16806,1.34577,0.328815,3.86862,0.00256303,
1.38875,4.18652,1.35207,0.328828,3.86239,0.00249517,
1.3938,4.20501,1.35838,0.32884,3.86871,0.00243586,
1.39885,4.22347,1.36468,0.328852,3.86248,0.00236901,
1.4039,4.24193,1.37098,0.328864,3.86374,0.00230718,
1.40895,4.26037,1.37727,0.328875,3.85744,0.00224128,
1.414,4.27884,1.38358,0.328886,3.86383,0.00218315,
1.41905,4.29727,1.38987,0.328897,3.85753,0.00211817,
1.4241,4.31571,1.39616,0.328907,3.85881,0.00205774,
1.42915,4.33413,1.40245,0.328917,3.85244,0.00199363,
1.4342,4.35257,1.40874,0.328927,3.8589,0.00193651,
1.43925,4.37098,1.41503,0.328936,3.85253,0.00187323,
1.4443,4.38941,1.42132,0.328945,3.85641,0.00181525,
1.44935,4.40781,1.4276,0.328954,3.85,0.00175273,
1.4544,4.42623,1.43389,0.328963,3.8539,0.00169523,
1.45945,4.44462,1.44016,0.328971,3.84746,0.00163346,
1.4645,4.46303,1.44645,0.328979,3.85138,0.00157641,
1.46955,4.4814,1.45272,0.328987,3.8449,0.00151536,
1.4746,4.49979,1.459,0.328994,3.84884,0.00145871,
1.47965,4.51816,1.46527,0.329001,3.84233,0.00139834,
1.4847,4.53654,1.47154,0.329008,3.84629,0.00134207,
1.48975,4.55489,1.47781,0.329014,3.83974,0.00128235,
1.4948,4.57326,1.48408,0.329021,3.84373,0.00122641,
1.49985,4.5916,1.49034,0.329026,3.83714,0.00116731,
1.5049,4.60996,1.49661,0.329032,3.84115,0.00111167,
1.50995,4.62828,1.50287,0.329037,3.83452,0.00105315,
1.515,4.64663,1.50913,0.329042,3.83856,0.000997774,
1.52005,4.66494,1.51539,0.329047,3.83189,0.000939802,
1.5251,4.68327,1.52165,0.329052,3.83595,0.000884664,
1.53015,4.70157,1.52789,0.329056,3.82925,0.000827209,
1.5352,4.71989,1.53415,0.32906,3.83333,0.000772271,
1.54025,4.73818,1.5404,0.329063,3.82659,0.000715301,
1.5453,4.75649,1.54665,0.329067,3.83069,0.00066053,
1.55035,4.77476,1.55289,0.32907,3.82391,0.000604016,
1.5554,4.79305,1.55913,0.329073,3.82804,0.00054938,
1.56045,4.81132,1.56537,0.329075,3.82122,0.000493292,
1.5655,4.82958,1.57161,0.329077,3.82261,0.000438445,
1.57055,4.84782,1.57784,0.329079,3.81572,0.000382803,
1.5756,4.86609,1.58408,0.329081,3.8227,0.000328667,
1.58065,4.88432,1.5903,0.329082,3.81582,0.000273381,
1.5857,4.90257,1.59653,0.329083,3.81721,0.000218804,
1.59075,4.92078,1.60275,0.329084,3.81025,0.000163872,
1.5958,4.93902,1.60898,0.329085,3.81731,0.000109628,
1.60085,4.95723,1.6152,0.329085,3.81035,5.49945e-05,
1.6059,4.97543,1.62142,0.329085,3.80894,5.67262e-07,
1.61095,4.99363,1.62763,0.329085,3.80752,-5.37838e-05,
1.616,5.01182,1.63384,0.329084,3.8061,-0.000108082,
1.62105,5.03,1.64005,0.329083,3.80467,-0.000162333,
1.6261,5.04818,1.64626,0.329082,3.80324,-0.000216546,
1.63115,5.06634,1.65246,0.329081,3.80181,-0.000270726,
1.6362,5.08451,1.65867,0.329079,3.80037,-0.000324882,
1.64125,5.10266,1.66487,0.329077,3.79893,-0.000379019,
1.6463,5.12081,1.67106,0.329075,3.79748,-0.000433146,
1.65135,5.13895,1.67726,0.329073,3.79604,-0.000487268,
1.6564,5.15707,1.68345,0.32907,3.79167,-0.000540979,
1.66145,5.17523,1.68965,0.329067,3.79901,-0.000596425,
1.6665,5.19335,1.69583,0.329064,3.79178,-0.000649672,
1.67155,5.21145,1.70201,0.32906,3.78738,-0.000703326,
1.6766,5.22958,1.70821,0.329056,3.79477,-0.000759241,
1.68165,5.24768,1.71439,0.329052,3.78749,-0.000812327,
1.6867,5.26575,1.72056,0.329048,3.78009,-0.00086529,
1.69175,5.28385,1.72674,0.329043,3.78759,-0.000921674,
1.6968,5.30192,1.73291,0.329038,3.7802,-0.000974561,
1.70185,5.32,1.73908,0.329033,3.7847,-0.0010306,
1.7069,5.33806,1.74524,0.329028,3.77727,-0.00108349,
1.71195,5.35612,1.75141,0.329022,3.77877,-0.00113897,
1.717,5.37414,1.75756,0.329016,3.77126,-0.00119177,
1.72205,5.3922,1.76373,0.329009,3.77888,-0.00124946,
1.7271,5.41022,1.76988,0.329003,3.77137,-0.00130231,
1.73215,5.42824,1.77604,0.328996,3.76984,-0.00135727,
1.7372,5.44625,1.78218,0.328989,3.76831,-0.00141234,
1.74225,5.46425,1.78833,0.328981,3.76678,-0.00146752,
1.7473,5.48225,1.79447,0.328974,3.76524,-0.00152284,
1.75235,5.50022,1.80061,0.328966,3.76062,-0.001577,
1.7574,5.51823,1.80676,0.328958,3.76839,-0.00163657,
1.76245,5.5362,1.81289,0.328949,3.76073,-0.00168966,
1.7675,5.55414,1.81901,0.32894,3.75296,-0.00174271,
1.77255,5.57211,1.82515,0.328931,3.76084,-0.00180315,
1.7776,5.59005,1.83127,0.328922,3.75307,-0.00185634,
1.78265,5.60801,1.8374,0.328912,3.7578,-0.00191592,
1.7877,5.62593,1.84352,0.328902,3.74998,-0.00196932,
1.79275,5.64386,1.84964,0.328892,3.75157,-0.00202779,
1.7978,5.66175,1.85574,0.328881,3.74366,-0.0020813,
1.80285,5.67968,1.86186,0.328871,3.75168,-0.00214387,
1.8079,5.69758,1.86797,0.328859,3.74378,-0.00219764,
1.81295,5.71545,1.87407,0.328848,3.73897,-0.00225333,
1.818,5.73336,1.88018,0.328836,3.74705,-0.00231709,
1.82305,5.75123,1.88627,0.328824,3.73908,-0.00237125,
1.8281,5.76906,1.89236,0.328812,3.731,-0.00242542,
1.83315,5.78693,1.89846,0.3288,3.7392,-0.00249039,
1.8382,5.80476,1.90454,0.328787,3.73112,-0.00254487,
1.84325,5.8226,1.91063,0.328774,3.73276,-0.00260623,
1.8483,5.8404,1.9167,0.32876,3.72458,-0.00266099,
1.85335,5.85825,1.92279,0.328746,3.73287,-0.0027278,
1.8584,5.87605,1.92886,0.328732,3.7247,-0.00278297,
1.86345,5.89383,1.93492,0.328718,3.71973,-0.00284072,
1.8685,5.91165,1.941,0.328703,3.72809,-0.00290902,
1.87355,5.92943,1.94706,0.328688,3.71985,-0.0029648,
1.8786,5.94717,1.95311,0.328673,3.71149,-0.00302064,
1.88365,5.96495,1.95918,0.328657,3.71997,-0.00309048,
1.8887,5.98269,1.96523,0.328642,3.71161,-0.00314678,
1.89375,6.00044,1.97128,0.328625,3.71331,-0.00321195,
1.8988,6.01814,1.97732,0.328609,3.70486,-0.00326867,
1.90385,6.03589,1.98337,0.328592,3.71343,-0.00334079,
1.9089,6.0536,1.98941,0.328575,3.70498,-0.00339809,
1.91395,6.07129,1.99544,0.328557,3.69984,-0.00345869,
1.919,6.089,2.00147,0.328539,3.70502,-0.00352937,
1.92405,6.10667,2.0075,0.328521,3.69645,-0.00358741,
1.9291,6.12434,2.01352,0.328503,3.69819,-0.00365581,
1.93415,6.14198,2.01953,0.328484,3.68952,-0.00371431,
1.9392,6.15966,2.02556,0.328465,3.69831,-0.00379085,
1.94425,6.17729,2.03157,0.328446,3.68965,-0.00385007,
1.9493,6.19491,2.03757,0.328426,3.68438,-0.00391315,
1.95435,6.21254,2.04358,0.328406,3.68969,-0.00398797,
1.9594,6.23014,2.04957,0.328385,3.68091,-0.00404809,
1.96445,6.24774,2.05557,0.328364,3.68269,-0.00412027,
1.9695,6.2653,2.06155,0.328343,3.6738,-0.00418098,
1.97455,6.28291,2.06755,0.328322,3.68282,-0.0042626,
1.9796,6.30047,2.07353,0.3283,3.67393,-0.00432416,
1.98465,6.31801,2.07951,0.328278,3.66852,-0.00439021,
1.9897,6.33557,2.08549,0.328255,3.67398,-0.00446983,
1.99475,6.35309,2.09145,0.328232,3.66496,-0.00453248,
1.9998,6.37062,2.09742,0.328209,3.66679,-0.00460904,
2.00485,6.3881,2.10338,0.328185,3.65767,-0.00467241,
2.0099,6.40563,2.10935,0.328161,3.66692,-0.00475986,
2.01495,6.42312,2.1153,0.328137,3.65781,-0.00482424,
2.02,6.44058,2.12124,0.328112,3.65226,-0.0048938,
2.02505,6.45807,2.12719,0.328087,3.65785,-0.00497895,
2.0301,6.47551,2.13313,0.328062,3.64861,-0.00504463,
2.03515,6.49294,2.13906,0.328036,3.64674,-0.00512101,
2.0402,6.51037,2.14499,0.32801,3.64485,-0.00519807,
2.04525,6.52777,2.15091,0.327983,3.6392,-0.00527041,
2.0503,6.54519,2.15684,0.327956,3.6449,-0.00535998,
2.05535,6.56257,2.16276,0.327928,3.63547,-0.0054281,
2.0604,6.57996,2.16867,0.327901,3.63739,-0.00551381,
2.06545,6.59731,2.17457,0.327872,3.62785,-0.00558288,
2.0705,6.6147,2.18049,0.327844,3.63752,-0.00568232,
2.07555,6.63205,2.18639,0.327815,3.62799,-0.00575273,
